data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
202353MD1306-1,,22855B-MD-E89D13
201953CMD1028-1,474CB9-MC-E8F7C0,
202553CMD1087-2,D06FE5-MC-E8E854,
202453MD1879-2,,08F09B-MD-E8AE15
202353CMD1018-1,F53B52-MC-E84F87,MELAdem 53 C
202153MD1193-2,,8985A9-MD-E8FDFF
202053MD1469-1,,13F4A9-MD-E8D277
201953MD1659-1,,BE2521-MD-E8DC34
201653MD1602-1,,DCD625-MD-E8092A
202253MD1651-2,,52D87B-MD-E854A5
201053MD1367-2,,A09F65-MD-E86E7F
202553CMD1054-1,57ACB9-MC-E82CB5,
202153MD1596-1,,019FA4-MD-E88BA1   
202553CMD1054-2,599CB9-MC-E8DE89,
202553MD1402-1,,229F65-MD-E873F3
202453MD1274-1,,2BE5A9-MD-E8C649
201553MD1532-3,,BF3521-MD-E8F413
1353MD1447-1,,C714A9-MD-E81FAA
202453MD1348-1,,C3C7F6-MD-E892E2
201553MD1504-1,,E98961-MD-E862D9
201853MD1462-2,,2CD4A9-MD-E84D5F
201553MD1296-1,,A2DDA1-MD-E8C683
201653CMD1048-2,6A6362-MC-E8D9BE,
202553CMD1146-1,14C5DC-MC-E81EC0,
201653MD1930-1,,6F8625-MD-E8B640
202453MD1381-2,,2125A9-MD-E84BE0
201553MD1633-1,,B3FEC5-MD-E8C353
202453MD1791-1,,22B5A9-MD-E8C8DA
202453MD1791-2,,22B5A9-MD-E8C8DA
1153MD1178-2,,22B5A9-MD-E8C8DA
202453MD1128-2,,534625-MD-E82715
201653MD1880-1,,05EE0B-MD-E8CEE4
1453MD1254-1,,921D0B-MD-E85D0E
202253MD1117-2,,CAD625-MD-E85D0C
201653MD1686-1,,E95625-MD-E87D5B
201953MD1532-2,,E871B6-MD-E8573F
201753MD1299-1,,0F3625-MD-E8636F
202253MD1853-2,,7D6625-MD-E826D0
202453MD1517-1,,797FA4-MD-E8D0C3
202353MD1150-1,,0D14A9-MD-E81FC9
202353CMD1008-2,DEBCA7-MC-E8EC3A,DEBCA7-MD-E8EC3A
202153CMD1083-1,2EE265-MC-E8029A,
202553MD1317-2,,FC54A9-MD-E8CACF
201753MD1005-2,,04BCA7-MD-E8ACB9
1353MD1405-2,,3E05A9-MD-E8CD72
202253CMD1038-1,B46346-MC-E8CEF8   ,B46346-MC-E8CEF8   
202353MD1750-1,,7D8A97-MD-E8B698
201953MD1633-1,,56A5A9-MD-E86C19
201753MD1172-1,,903625-MD-E8133B
202453CMD1127-2,68280B-MC-E8BF93,
202353MD1306-1,,63755B-MD-E8984E
202553MD1844-1,,D5F09B-MD-E86DB0
201653MD1457-1,,E4BD0B-MD-E842C4
201953MD1050-2,,DB0625-MD-E8C14D
202453MD1537-1,,35B967-MD-E8BE8C
202453MD1537-2,,FBB967-MD-E8B15A
201953MD1395-1,,26F5A9-MD-E86111
202153MD1273-1,,B39237-MD-E81728
202353MD1018-2,,3295A9-MD-E87159
202453MD1821-1,,81E4A9-MD-E8D00A
202253MD1651-1,,B9C87B-MD-E8D2A5
202353MD1495-1,,1B15A9-MD-E8DD45
201753MD1460-1,,DC9D0B-MD-E89708
202153MD1793-2,,870697-MD-E8A89E
202053MD1148-1,,C17625-MD-E82CBD
202353MD1154-1,,C9C87B-MD-E8FBF2
202253MD1651-1,,B9C87B-MD-E8D2A5
202253MD1654-1,,A99B6B-MD-E82442
1453MD1661-1,,272625-MD-E87905
201953MD1557-1,,45B5A9-MD-E89DCA
202253MD1194-2,,F6FE77-MD-E8626E  
202253MD1556-2,,261625-MD-E8A116
201953MD1307-1,,5D44A9-MD-E8BE6A
202353CMD1083-2,F47346-MC-E80BC5,F47346-MC-E80BC5
201653MD1013-2,,0275A9-MD-E83A3D
201553MD1680-2,,BE0625-MD-E89C42
202253MD1256-1,,272625-MD-E8CCF2
202253MD1256-2,,EAB625-MD-E82FB0
201653MD1535-1,,12E4A9-MD-E873CE
201753MD1202-1,,C750C7-MD-E8E2DE
201653MD1900-1,,4BA5A9-MD-E82A01
1453MD1336-2,,3760C7-MD-E851C3
202553MD1874-2,,9EE09B-MD-E84E7A
202053CMD1091-2,FA5346-MC-E8C9D7,
201853MD1437-1,,00A625-MD-E8AAAA
201753MD1145-3,,91F5A9-MD-E82A55
202153MD1824-2,,31E5A9-MD-E8AFCF
202253MD1911-1,,A650C7-MD-E89B00
201853MD1207-1,,7EBD0B-MD-E8BCB5
202253MD1123-1,,50D5A9-MD-E88469
202453MD1495-1,,E8D625-MD-E841C1
202353MD1402-2,,5C75A9-MD-E822B7
